case_id,version,section,mpi_ranks,omp_threads,size,iters,ntasks,cpus_per_task,exec_path
baseline_omp_np1_t1_s40_i20_20260503_004907,baseline,omp,1,1,40,20,1,1,/opt/phadcloud/lustre/home/phadcloud65np17903/build-lulesh-baseline/lulesh2.0
kc_omp_np1_t1_s40_i20_20260503_004907,kc,omp,1,1,40,20,1,1,/opt/phadcloud/lustre/home/phadcloud65np17903/build-cluster-kc/lulesh2.0
baseline_omp_np1_t8_s40_i20_20260503_004907,baseline,omp,1,8,40,20,1,8,/opt/phadcloud/lustre/home/phadcloud65np17903/build-lulesh-baseline/lulesh2.0
kc_omp_np1_t8_s40_i20_20260503_004907,kc,omp,1,8,40,20,1,8,/opt/phadcloud/lustre/home/phadcloud65np17903/build-cluster-kc/lulesh2.0
