case_id,version,section,mpi_ranks,omp_threads,size,iters,ntasks,cpus_per_task,exec_path,mpi_binding_mode,hybrid_layout_mode,omp_places_mode,omp_proc_bind_mode
baseline_hybrid_np1_t96_s80_i20_bindcore_20260504_165917,baseline,hybrid,1,96,80,20,1,96,/phadcloud/home/phadcloud65np17907/build-lulesh-baseline/lulesh2.0,core,slotpe,cores,close
baseline_hybrid_np8_t12_s80_i20_bindcore_20260504_165917,baseline,hybrid,8,12,80,20,8,12,/phadcloud/home/phadcloud65np17907/build-lulesh-baseline/lulesh2.0,core,slotpe,cores,close
baseline_hybrid_np27_t3_s80_i20_bindcore_20260504_165917,baseline,hybrid,27,3,80,20,27,3,/phadcloud/home/phadcloud65np17907/build-lulesh-baseline/lulesh2.0,core,slotpe,cores,close
