case_id,version,section,mpi_ranks,omp_threads,size,iters,ntasks,cpus_per_task,exec_path
baseline_mpi_np27_t1_s40_i20_20260503_230418,baseline,mpi,27,1,40,20,27,1,/phadcloud/home/phadcloud65np17907/build-lulesh-baseline/lulesh2.0
kc_mpi_np27_t1_s40_i20_20260503_230418,kc,mpi,27,1,40,20,27,1,/phadcloud/home/phadcloud65np17907/build-cluster-kc/lulesh2.0
