case_id,version,section,mpi_ranks,omp_threads,size,iters,ntasks,cpus_per_task,exec_path,mpi_binding_mode
kc_mpi_np1_t1_s80_i20_bindcore_20260504_062336,kc,mpi,1,1,80,20,1,1,/phadcloud/home/phadcloud65np17907/build-cluster-kc/lulesh2.0,core
kc_mpi_np8_t1_s80_i20_bindcore_20260504_062336,kc,mpi,8,1,80,20,8,1,/phadcloud/home/phadcloud65np17907/build-cluster-kc/lulesh2.0,core
