case_id,version,section,mpi_ranks,omp_threads,size,iters,ntasks,cpus_per_task,exec_path
baseline_hybrid_np8_t12_s80_i20_20260503_235814,baseline,hybrid,8,12,80,20,8,12,/phadcloud/home/phadcloud65np17907/build-lulesh-baseline/lulesh2.0
kc_hybrid_np8_t12_s80_i20_20260503_235814,kc,hybrid,8,12,80,20,8,12,/phadcloud/home/phadcloud65np17907/build-cluster-kc/lulesh2.0
