case_id,version,section,size,mpi_ranks,omp_threads,iters,elapsed_s,fom,energy,status,run_completed,warn_openfabrics,local_host,num_processors_seen,num_threads_seen,report_dir
baseline_omp_np1_t61_s20_i20_bindcore_20260504_065407,baseline,omp,20,1,61,20,2.9,54.904198,1.297886e+06,PASS,yes,yes,node60,1,61,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s20-b4-baseline-cluster-bindcore-secomp-verbaseline-s20-i20-omp58-59-60-61-62-20260504_065407
baseline_omp_np1_t62_s20_i20_bindcore_20260504_065407,baseline,omp,20,1,62,20,3,52.888863,1.297886e+06,PASS,yes,yes,node60,1,62,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s20-b4-baseline-cluster-bindcore-secomp-verbaseline-s20-i20-omp58-59-60-61-62-20260504_065407
baseline_omp_np1_t64_s20_i20_bindcore_20260504_065559,baseline,omp,20,1,64,20,3.1,51.340159,1.297886e+06,PASS,yes,yes,node60,1,64,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s20-b5-baseline-cluster-bindcore-secomp-verbaseline-s20-i20-omp64-20260504_065559
baseline_omp_np1_t1_s40_i20_bindcore_20260504_065757,baseline,omp,40,1,1,20,0.7,1820.2772,1.038309e+07,PASS,yes,yes,node60,1,1,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s40-b1-baseline-cluster-bindcore-secomp-verbaseline-s40-i20-omp1-2-4-8-15-20260504_065757
baseline_omp_np1_t2_s40_i20_bindcore_20260504_065757,baseline,omp,40,1,2,20,0.82,1567.4812,1.038309e+07,PASS,yes,yes,node60,1,2,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s40-b1-baseline-cluster-bindcore-secomp-verbaseline-s40-i20-omp1-2-4-8-15-20260504_065757
baseline_omp_np1_t4_s40_i20_bindcore_20260504_065757,baseline,omp,40,1,4,20,0.89,1439.5585,1.038309e+07,PASS,yes,yes,node60,1,4,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s40-b1-baseline-cluster-bindcore-secomp-verbaseline-s40-i20-omp1-2-4-8-15-20260504_065757
baseline_omp_np1_t8_s40_i20_bindcore_20260504_065757,baseline,omp,40,1,8,20,1.1,1180.0812,1.038309e+07,PASS,yes,yes,node60,1,8,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s40-b1-baseline-cluster-bindcore-secomp-verbaseline-s40-i20-omp1-2-4-8-15-20260504_065757
baseline_omp_np1_t15_s40_i20_bindcore_20260504_065757,baseline,omp,40,1,15,20,1.4,904.51906,1.038309e+07,PASS,yes,yes,node60,1,15,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s40-b1-baseline-cluster-bindcore-secomp-verbaseline-s40-i20-omp1-2-4-8-15-20260504_065757
baseline_omp_np1_t20_s40_i20_bindcore_20260504_065807,baseline,omp,40,1,20,20,1.7,770.22268,1.038309e+07,PASS,yes,yes,node60,1,20,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s40-b2-baseline-cluster-bindcore-secomp-verbaseline-s40-i20-omp20-24-28-29-30-20260504_065807
baseline_omp_np1_t24_s40_i20_bindcore_20260504_065807,baseline,omp,40,1,24,20,1.8,703.93193,1.038309e+07,PASS,yes,yes,node60,1,24,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s40-b2-baseline-cluster-bindcore-secomp-verbaseline-s40-i20-omp20-24-28-29-30-20260504_065807
