case_id,version,section,mpi_ranks,omp_threads,size,iters,ntasks,cpus_per_task,exec_path
baseline_omp_np1_t32_s20_i20_20260503_004710,baseline,omp,1,32,20,20,1,32,/opt/phadcloud/lustre/home/phadcloud65np17903/build-lulesh-baseline/lulesh2.0
kc_omp_np1_t32_s20_i20_20260503_004710,kc,omp,1,32,20,20,1,32,/opt/phadcloud/lustre/home/phadcloud65np17903/build-cluster-kc/lulesh2.0
baseline_omp_np1_t64_s20_i20_20260503_004710,baseline,omp,1,64,20,20,1,64,/opt/phadcloud/lustre/home/phadcloud65np17903/build-lulesh-baseline/lulesh2.0
kc_omp_np1_t64_s20_i20_20260503_004710,kc,omp,1,64,20,20,1,64,/opt/phadcloud/lustre/home/phadcloud65np17903/build-cluster-kc/lulesh2.0
