case_id,version,section,mpi_ranks,omp_threads,size,iters,ntasks,cpus_per_task,exec_path
baseline_hybrid_np27_t2_s120_i20_20260503_021500,baseline,hybrid,27,2,120,20,27,2,/opt/phadcloud/lustre/home/phadcloud65np17903/build-lulesh-baseline/lulesh2.0
kc_hybrid_np27_t2_s120_i20_20260503_021500,kc,hybrid,27,2,120,20,27,2,/opt/phadcloud/lustre/home/phadcloud65np17903/build-cluster-kc/lulesh2.0
