case_id,version,section,mpi_ranks,omp_threads,size,iters,elapsed_s,fom,energy,max_abs_diff,status,run_completed,warn_openfabrics,warn_ucx,warn_pmix,warn_orte,local_host,local_device,num_processors_seen,num_threads_seen
baseline_mpi_np1_t1_s20_i20_20260503_230018,baseline,mpi,1,1,20,20,0.18,872.16969,1.297886e+06,1.309672e-10,PASS,yes,yes,no,no,no,node219,mlx5_0,1,1
kc_mpi_np1_t1_s20_i20_20260503_230018,kc,mpi,1,1,20,20,0.17,931.6951,1.297886e+06,8.731149e-11,PASS,yes,yes,no,no,no,node219,mlx5_0,1,1
baseline_mpi_np27_t1_s20_i20_20260503_230129,baseline,mpi,27,1,20,20,7,615.83338,3.504293e+07,9.313226e-10,PASS,yes,yes,no,no,no,node126,mlx5_0,27,1
kc_mpi_np27_t1_s20_i20_20260503_230129,kc,mpi,27,1,20,20,7.57,570.29869,3.504293e+07,1.396984e-09,PASS,yes,yes,no,no,no,node126,mlx5_0,27,1
baseline_mpi_np8_t1_s20_i20_20260503_230053,baseline,mpi,8,1,20,20,2.6,500.98304,1.038309e+07,9.313226e-10,PASS,yes,yes,no,no,no,node126,mlx5_0,8,1
kc_mpi_np8_t1_s20_i20_20260503_230053,kc,mpi,8,1,20,20,2.47,518.84922,1.038309e+07,1.164153e-10,PASS,yes,yes,no,no,no,node126,mlx5_0,8,1
baseline_mpi_np1_t1_s40_i20_20260503_230223,baseline,mpi,1,1,40,20,0.75,1707.6083,1.038309e+07,9.313226e-10,PASS,yes,yes,no,no,no,node219,mlx5_0,1,1
kc_mpi_np1_t1_s40_i20_20260503_230223,kc,mpi,1,1,40,20,0.68,1887.1875,1.038309e+07,1.164153e-10,PASS,yes,yes,no,no,no,node219,mlx5_0,1,1
baseline_mpi_np27_t1_s40_i20_20260503_230418,baseline,mpi,27,1,40,20,14,2471.3693,2.803434e+08,1.862645e-08,PASS,yes,yes,no,no,no,node59,mlx5_0,27,1
kc_mpi_np27_t1_s40_i20_20260503_230418,kc,mpi,27,1,40,20,12.90,2678.6607,2.803434e+08,3.725290e-09,PASS,yes,yes,no,no,no,node59,mlx5_0,27,1
baseline_mpi_np8_t1_s40_i20_20260503_230315,baseline,mpi,8,1,40,20,4.1,2507.1421,8.306471e+07,2.793968e-09,PASS,yes,yes,no,no,no,node59,mlx5_0,8,1
kc_mpi_np8_t1_s40_i20_20260503_230315,kc,mpi,8,1,40,20,3.74,2735.7895,8.306471e+07,2.793968e-09,PASS,yes,yes,no,no,no,node59,mlx5_0,8,1
baseline_mpi_np1_t1_s80_i20_20260503_230519,baseline,mpi,1,1,80,20,5.6,1836.7211,8.306471e+07,2.793968e-09,PASS,yes,yes,no,no,no,node219,mlx5_0,1,1
kc_mpi_np1_t1_s80_i20_20260503_230519,kc,mpi,1,1,80,20,5.25,1950.2823,8.306471e+07,2.793968e-09,PASS,yes,yes,no,no,no,node219,mlx5_0,1,1
baseline_mpi_np27_t1_s80_i20_20260503_230637,baseline,mpi,27,1,80,20,86,3225.5905,2.242747e+09,2.980232e-08,PASS,yes,yes,no,no,no,node59,mlx5_0,27,1
kc_mpi_np27_t1_s80_i20_20260503_230637,kc,mpi,27,1,80,20,74.75,3698.6309,2.242747e+09,2.086163e-07,PASS,yes,yes,no,no,no,node59,mlx5_0,27,1
baseline_mpi_np8_t1_s80_i20_20260503_230551,baseline,mpi,8,1,80,20,23,3589.2443,6.645177e+08,1.490116e-08,PASS,yes,yes,no,no,no,node59,mlx5_0,8,1
kc_mpi_np8_t1_s80_i20_20260503_230551,kc,mpi,8,1,80,20,19.93,4110.5961,6.645177e+08,7.450581e-09,PASS,yes,yes,no,no,no,node59,mlx5_0,8,1
baseline_omp_np1_t1_s20_i20_20260503_233353,baseline,omp,1,1,20,20,0.18,871.28472,1.297886e+06,1.309672e-10,PASS,yes,yes,no,no,no,node217,mlx5_0,1,1
kc_omp_np1_t1_s20_i20_20260503_233353,kc,omp,1,1,20,20,0.17,934.85793,1.297886e+06,8.731149e-11,PASS,yes,yes,no,no,no,node217,mlx5_0,1,1
baseline_omp_np1_t12_s20_i20_20260503_233449,baseline,omp,1,12,20,20,0.73,220.42954,1.297886e+06,8.731149e-11,PASS,yes,yes,no,no,no,node217,mlx5_0,1,12
kc_omp_np1_t12_s20_i20_20260503_233449,kc,omp,1,12,20,20,0.27,590.59768,1.297886e+06,8.731149e-11,PASS,yes,yes,no,no,no,node217,mlx5_0,1,12
baseline_omp_np1_t24_s20_i20_20260503_233515,baseline,omp,1,24,20,20,1.3,127.3157,1.297886e+06,8.731149e-11,PASS,yes,yes,no,no,no,node217,mlx5_0,1,24
kc_omp_np1_t24_s20_i20_20260503_233515,kc,omp,1,24,20,20,0.39,409.53081,1.297886e+06,8.731149e-11,PASS,yes,yes,no,no,no,node217,mlx5_0,1,24
baseline_omp_np1_t48_s20_i20_20260503_233530,baseline,omp,1,48,20,20,2.3,68.273221,1.297886e+06,8.731149e-11,PASS,yes,yes,no,no,no,node217,mlx5_0,1,48
kc_omp_np1_t48_s20_i20_20260503_233530,kc,omp,1,48,20,20,0.60,268.56813,1.297886e+06,8.731149e-11,PASS,yes,yes,no,no,no,node217,mlx5_0,1,48
baseline_omp_np1_t96_s20_i20_20260503_233941,baseline,omp,1,96,20,20,4.7,34.212579,1.297886e+06,8.731149e-11,PASS,yes,yes,no,no,no,node60,mlx5_0,1,96
kc_omp_np1_t96_s20_i20_20260503_233941,kc,omp,1,96,20,20,1.11,144.19624,1.297886e+06,8.731149e-11,PASS,yes,yes,no,no,no,node60,mlx5_0,1,96
baseline_omp_np1_t1_s40_i20_20260503_234053,baseline,omp,1,1,40,20,0.67,1897.5463,1.038309e+07,9.313226e-10,PASS,yes,yes,no,no,no,node60,mlx5_0,1,1
kc_omp_np1_t1_s40_i20_20260503_234053,kc,omp,1,1,40,20,0.60,2147.6006,1.038309e+07,1.164153e-10,PASS,yes,yes,no,no,no,node60,mlx5_0,1,1
baseline_omp_np1_t12_s40_i20_20260503_234110,baseline,omp,1,12,40,20,1.3,1001.8964,1.038309e+07,1.164153e-10,PASS,yes,yes,no,no,no,node60,mlx5_0,1,12
kc_omp_np1_t12_s40_i20_20260503_234110,kc,omp,1,12,40,20,0.70,1841.5491,1.038309e+07,1.164153e-10,PASS,yes,yes,no,no,no,node60,mlx5_0,1,12
baseline_omp_np1_t24_s40_i20_20260503_234131,baseline,omp,1,24,40,20,1.9,691.84181,1.038309e+07,1.164153e-10,PASS,yes,yes,no,no,no,node60,mlx5_0,1,24
kc_omp_np1_t24_s40_i20_20260503_234131,kc,omp,1,24,40,20,0.84,1531.4046,1.038309e+07,1.164153e-10,PASS,yes,yes,no,no,no,node60,mlx5_0,1,24
baseline_omp_np1_t48_s40_i20_20260503_234148,baseline,omp,1,48,40,20,3,424.46605,1.038309e+07,1.164153e-10,PASS,yes,yes,no,no,no,node60,mlx5_0,1,48
kc_omp_np1_t48_s40_i20_20260503_234148,kc,omp,1,48,40,20,1.11,1155.7687,1.038309e+07,1.164153e-10,PASS,yes,yes,no,no,no,node60,mlx5_0,1,48
baseline_omp_np1_t96_s40_i20_20260503_234305,baseline,omp,1,96,40,20,5.5,234.04079,1.038309e+07,1.164153e-10,PASS,yes,yes,no,no,no,node60,mlx5_0,1,96
kc_omp_np1_t96_s40_i20_20260503_234305,kc,omp,1,96,40,20,1.61,794.49613,1.038309e+07,1.164153e-10,PASS,yes,yes,no,no,no,node60,mlx5_0,1,96
baseline_omp_np1_t1_s80_i20_20260503_234412,baseline,omp,1,1,80,20,5.3,1949.3547,8.306471e+07,2.793968e-09,PASS,yes,yes,no,no,no,node60,mlx5_0,1,1
