case_id,version,section,mpi_ranks,omp_threads,size,iters,ntasks,cpus_per_task,exec_path,mpi_binding_mode
baseline_omp_np1_t20_s20_i20_bindcore_20260504_065141,baseline,omp,1,20,20,20,1,20,/phadcloud/home/phadcloud65np17907/build-lulesh-baseline/lulesh2.0,core
baseline_omp_np1_t24_s20_i20_bindcore_20260504_065141,baseline,omp,1,24,20,20,1,24,/phadcloud/home/phadcloud65np17907/build-lulesh-baseline/lulesh2.0,core
baseline_omp_np1_t28_s20_i20_bindcore_20260504_065141,baseline,omp,1,28,20,20,1,28,/phadcloud/home/phadcloud65np17907/build-lulesh-baseline/lulesh2.0,core
baseline_omp_np1_t29_s20_i20_bindcore_20260504_065141,baseline,omp,1,29,20,20,1,29,/phadcloud/home/phadcloud65np17907/build-lulesh-baseline/lulesh2.0,core
baseline_omp_np1_t30_s20_i20_bindcore_20260504_065141,baseline,omp,1,30,20,20,1,30,/phadcloud/home/phadcloud65np17907/build-lulesh-baseline/lulesh2.0,core
