case_id,version,section,mpi_ranks,omp_threads,size,iters,ntasks,cpus_per_task,exec_path
baseline_mpi_np8_t1_s80_i20_20260503_230551,baseline,mpi,8,1,80,20,8,1,/phadcloud/home/phadcloud65np17907/build-lulesh-baseline/lulesh2.0
kc_mpi_np8_t1_s80_i20_20260503_230551,kc,mpi,8,1,80,20,8,1,/phadcloud/home/phadcloud65np17907/build-cluster-kc/lulesh2.0
