case_id,version,section,mpi_ranks,omp_threads,size,iters,ntasks,cpus_per_task,exec_path
baseline_omp_np1_t24_s20_i20_20260503_233515,baseline,omp,1,24,20,20,1,24,/phadcloud/home/phadcloud65np17907/build-lulesh-baseline/lulesh2.0
kc_omp_np1_t24_s20_i20_20260503_233515,kc,omp,1,24,20,20,1,24,/phadcloud/home/phadcloud65np17907/build-cluster-kc/lulesh2.0
