Version,Size,Threads,Run,FOM,Time
OpenMP,60,1,7,2402.158,9.0
OpenMP,60,1,8,2429.6905,8.9
OpenMP,60,1,9,2413.7895,8.9
OpenMP,60,1,10,2404.6502,9.0
OpenMP,60,2,1,3332.2112,6.5
OpenMP,60,2,2,3316.8546,6.5
OpenMP,60,2,3,3295.9858,6.6
OpenMP,60,2,4,3325.8655,6.5
OpenMP,60,2,5,3309.2785,6.5
OpenMP,60,2,6,3292.8068,6.6
OpenMP,60,2,7,3294.4653,6.6
OpenMP,60,2,8,3301.5255,6.5
OpenMP,60,2,9,3316.8503,6.5
OpenMP,60,2,10,3288.1671,6.6
OpenMP,60,4,1,5000.5548,4.3
OpenMP,60,4,2,4994.4563,4.3
OpenMP,60,4,3,5027.1795,4.3
OpenMP,60,4,4,5002.0672,4.3
OpenMP,60,4,5,4974.5044,4.3
OpenMP,60,4,6,5012.0081,4.3
OpenMP,60,4,7,4962.1916,4.4
OpenMP,60,4,8,4975.8638,4.3
OpenMP,60,4,9,4954.3396,4.4
OpenMP,60,4,10,5000.5422,4.3
OpenMP,60,8,1,6197.5194,3.5
OpenMP,60,8,2,6149.2307,3.5
OpenMP,60,8,3,6160.7974,3.5
OpenMP,60,8,4,6155.8799,3.5
OpenMP,60,8,5,6224.2508,3.5
OpenMP,60,8,6,6122.9226,3.5
OpenMP,60,8,7,6052.5498,3.6
OpenMP,60,8,8,6196.698,3.5
OpenMP,60,8,9,6102.2125,3.5
OpenMP,60,8,10,6130.522,3.5
OpenMP,60,16,1,6638.2706,3.3
OpenMP,60,16,2,6486.3184,3.3
OpenMP,60,16,3,6565.5361,3.3
OpenMP,60,16,4,6514.1112,3.3
OpenMP,60,16,5,6497.3488,3.3
OpenMP,60,16,6,6498.868,3.3
OpenMP,60,16,7,6535.4341,3.3
OpenMP,60,16,8,6428.5747,3.4
OpenMP,60,16,9,6462.0105,3.3
OpenMP,60,16,10,6515.7929,3.3
OpenMP,60,32,1,6123.1215,3.5
OpenMP,60,32,2,5933.8732,3.6
OpenMP,60,32,3,5963.3146,3.6
OpenMP,60,32,4,5936.0473,3.6
OpenMP,60,32,5,6026.2195,3.6
OpenMP,60,32,6,6031.3065,3.6
OpenMP,60,32,7,6027.1796,3.6
OpenMP,60,32,8,5956.2856,3.6
OpenMP,60,32,9,5979.875,3.6
OpenMP,60,32,10,5916.9745,3.7
OpenMP,90,1,1,2070.8851,35.0
OpenMP,90,1,2,2061.9111,35.0
OpenMP,90,1,3,2046.0348,36.0
OpenMP,90,1,4,2043.5361,36.0
OpenMP,90,1,5,2035.7618,36.0
OpenMP,90,1,6,2032.3436,36.0
OpenMP,90,1,7,2034.1715,36.0
OpenMP,90,1,8,2041.3675,36.0
OpenMP,90,1,9,2041.9472,36.0
OpenMP,90,1,10,2041.7818,36.0
OpenMP,90,2,1,2838.9181,26.0
OpenMP,90,2,2,2833.0667,26.0
OpenMP,90,2,3,2840.3776,26.0
OpenMP,90,2,4,2842.4727,26.0
OpenMP,90,2,5,2847.21,26.0
OpenMP,90,2,6,2820.5191,26.0
OpenMP,90,2,7,2834.0965,26.0
OpenMP,90,2,8,2841.4449,26.0
OpenMP,90,2,9,2839.18,26.0
OpenMP,90,2,10,2846.2401,26.0
OpenMP,90,4,1,4364.5581,17.0
OpenMP,90,4,2,4347.4745,17.0
OpenMP,90,4,3,4342.0197,17.0
OpenMP,90,4,4,4338.9959,17.0
OpenMP,90,4,5,4387.5697,17.0
OpenMP,90,4,6,4354.1029,17.0
OpenMP,90,4,7,4389.8013,17.0
OpenMP,90,4,8,4372.3048,17.0
OpenMP,90,4,9,4360.0401,17.0
OpenMP,90,4,10,4371.7759,17.0
OpenMP,90,8,1,5458.6495,13.0
OpenMP,90,8,2,5410.1591,13.0
OpenMP,90,8,3,5442.7241,13.0
OpenMP,90,8,4,5445.7155,13.0
OpenMP,90,8,5,5481.6284,13.0
OpenMP,90,8,6,5448.8378,13.0
OpenMP,90,8,7,5462.514,13.0
OpenMP,90,8,8,5440.6487,13.0
OpenMP,90,8,9,5437.1216,13.0
OpenMP,90,8,10,5429.2274,13.0
OpenMP,90,16,1,5664.6284,13.0
OpenMP,90,16,2,5745.3032,13.0
OpenMP,90,16,3,5749.7519,13.0
OpenMP,90,16,4,5706.2223,13.0
OpenMP,90,16,5,5755.847,13.0
OpenMP,90,16,6,5665.5157,13.0
