case_id,version,section,mpi_ranks,omp_threads,size,iters,ntasks,cpus_per_task,exec_path,mpi_binding_mode
kc_omp_np1_t1_s40_i20_bindcore_20260504_065936,kc,omp,1,1,40,20,1,1,/phadcloud/home/phadcloud65np17907/build-cluster-kc/lulesh2.0,core
kc_omp_np1_t2_s40_i20_bindcore_20260504_065936,kc,omp,1,2,40,20,1,2,/phadcloud/home/phadcloud65np17907/build-cluster-kc/lulesh2.0,core
kc_omp_np1_t4_s40_i20_bindcore_20260504_065936,kc,omp,1,4,40,20,1,4,/phadcloud/home/phadcloud65np17907/build-cluster-kc/lulesh2.0,core
kc_omp_np1_t8_s40_i20_bindcore_20260504_065936,kc,omp,1,8,40,20,1,8,/phadcloud/home/phadcloud65np17907/build-cluster-kc/lulesh2.0,core
kc_omp_np1_t15_s40_i20_bindcore_20260504_065936,kc,omp,1,15,40,20,1,15,/phadcloud/home/phadcloud65np17907/build-cluster-kc/lulesh2.0,core
