case_id,version,section,size,mpi_ranks,omp_threads,iters,elapsed_s,fom,energy,status,run_completed,warn_openfabrics,local_host,num_processors_seen,num_threads_seen,report_dir
baseline_hybrid_np8_t10_s80_i20_bindcore_20260504_165433,baseline,hybrid,80,8,10,20,2.1,38988.734,6.645177e+08,PASS,yes,yes,node60,8,10,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage3-slotpe-rank/stage3-cluster-bindcore-sechybrid-verbaseline-s80-i20-hyb8x4-8x8-8x10-20260504_165433
baseline_hybrid_np8_t11_s80_i20_bindcore_20260504_165500,baseline,hybrid,80,8,11,20,1.6,50762.328,6.645177e+08,PASS,yes,yes,node60,8,11,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage3-slotpe-rank/stage3-cluster-bindcore-sechybrid-verbaseline-s80-i20-hyb8x11-8x12-20260504_165500
baseline_hybrid_np8_t12_s80_i20_bindcore_20260504_165917,baseline,hybrid,80,8,12,20,1.5,54321.157,6.645177e+08,PASS,yes,yes,node60,8,12,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage3-slotpe-rank/stage3-cluster-bindcore-sechybrid-verbaseline-s80-i20-hyb1x96-8x12-27x3-20260504_165917
baseline_hybrid_np27_t3_s80_i20_bindcore_20260504_165917,baseline,hybrid,80,27,3,20,7.1,38815.426,2.242747e+09,PASS,yes,yes,node60,27,3,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage3-slotpe-rank/stage3-cluster-bindcore-sechybrid-verbaseline-s80-i20-hyb1x96-8x12-27x3-20260504_165917
kc_hybrid_np1_t96_s20_i20_bindcore_20260504_171304,kc,hybrid,20,1,96,20,0.10,1680.8488,1.297886e+06,PASS,yes,yes,node60,1,96,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage3-slotpe-rank/stage3-cluster-bindcore-sechybrid-verkc-s20-i20-hyb1x96-8x12-27x3-20260504_171304
kc_hybrid_np8_t4_s20_i20_bindcore_20260504_171157,kc,hybrid,20,8,4,20,0.08,15513.835,1.038309e+07,PASS,yes,yes,node60,8,4,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage3-slotpe-rank/stage3-cluster-bindcore-sechybrid-verkc-s20-i20-hyb8x4-8x8-8x10-20260504_171157
kc_hybrid_np8_t8_s20_i20_bindcore_20260504_171157,kc,hybrid,20,8,8,20,0.06,21979.154,1.038309e+07,PASS,yes,yes,node60,8,8,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage3-slotpe-rank/stage3-cluster-bindcore-sechybrid-verkc-s20-i20-hyb8x4-8x8-8x10-20260504_171157
kc_hybrid_np8_t10_s20_i20_bindcore_20260504_171157,kc,hybrid,20,8,10,20,0.06,21746.887,1.038309e+07,PASS,yes,yes,node60,8,10,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage3-slotpe-rank/stage3-cluster-bindcore-sechybrid-verkc-s20-i20-hyb8x4-8x8-8x10-20260504_171157
kc_hybrid_np8_t11_s20_i20_bindcore_20260504_171215,kc,hybrid,20,8,11,20,0.05,24733.822,1.038309e+07,PASS,yes,yes,node60,8,11,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage3-slotpe-rank/stage3-cluster-bindcore-sechybrid-verkc-s20-i20-hyb8x11-8x12-20260504_171215
kc_hybrid_np8_t12_s20_i20_bindcore_20260504_171304,kc,hybrid,20,8,12,20,0.05,24457.82,1.038309e+07,PASS,yes,yes,node60,8,12,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage3-slotpe-rank/stage3-cluster-bindcore-sechybrid-verkc-s20-i20-hyb1x96-8x12-27x3-20260504_171304
kc_hybrid_np27_t3_s20_i20_bindcore_20260504_171304,kc,hybrid,20,27,3,20,0.10,44444.444,3.504293e+07,PASS,yes,yes,node60,27,3,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage3-slotpe-rank/stage3-cluster-bindcore-sechybrid-verkc-s20-i20-hyb1x96-8x12-27x3-20260504_171304
kc_hybrid_np1_t96_s40_i20_bindcore_20260504_170854,kc,hybrid,40,1,96,20,0.10,12357.717,1.038309e+07,PASS,yes,yes,node60,1,96,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage3-slotpe-rank/stage3-cluster-bindcore-sechybrid-verkc-s40-i20-hyb1x96-8x12-27x3-20260504_170854
kc_hybrid_np8_t4_s40_i20_bindcore_20260504_170739,kc,hybrid,40,8,4,20,0.30,33976.701,8.306471e+07,PASS,yes,yes,node60,8,4,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage3-slotpe-rank/stage3-cluster-bindcore-sechybrid-verkc-s40-i20-hyb8x4-8x8-8x10-20260504_170739
kc_hybrid_np8_t8_s40_i20_bindcore_20260504_170739,kc,hybrid,40,8,8,20,0.17,60348.892,8.306471e+07,PASS,yes,yes,node60,8,8,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage3-slotpe-rank/stage3-cluster-bindcore-sechybrid-verkc-s40-i20-hyb8x4-8x8-8x10-20260504_170739
kc_hybrid_np8_t10_s40_i20_bindcore_20260504_170739,kc,hybrid,40,8,10,20,0.15,68208.462,8.306471e+07,PASS,yes,yes,node60,8,10,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage3-slotpe-rank/stage3-cluster-bindcore-sechybrid-verkc-s40-i20-hyb8x4-8x8-8x10-20260504_170739
kc_hybrid_np8_t11_s40_i20_bindcore_20260504_170758,kc,hybrid,40,8,11,20,0.14,70891.544,8.306471e+07,PASS,yes,yes,node60,8,11,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage3-slotpe-rank/stage3-cluster-bindcore-sechybrid-verkc-s40-i20-hyb8x11-8x12-20260504_170758
kc_hybrid_np8_t12_s40_i20_bindcore_20260504_170854,kc,hybrid,40,8,12,20,0.13,77051.573,8.306471e+07,PASS,yes,yes,node60,8,12,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage3-slotpe-rank/stage3-cluster-bindcore-sechybrid-verkc-s40-i20-hyb1x96-8x12-27x3-20260504_170854
kc_hybrid_np27_t3_s40_i20_bindcore_20260504_170854,kc,hybrid,40,27,3,20,0.43,79824.829,2.803434e+08,PASS,yes,yes,node60,27,3,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage3-slotpe-rank/stage3-cluster-bindcore-sechybrid-verkc-s40-i20-hyb1x96-8x12-27x3-20260504_170854
kc_hybrid_np1_t96_s80_i20_bindcore_20260504_170022,kc,hybrid,80,1,96,20,0.19,55014.425,8.306471e+07,PASS,yes,yes,node60,1,96,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage3-slotpe-rank/stage3-cluster-bindcore-sechybrid-verkc-s80-i20-hyb1x96-8x12-27x3-20260504_170022
kc_hybrid_np8_t4_s80_i20_bindcore_20260504_165618,kc,hybrid,80,8,4,20,4.22,19412.327,6.645177e+08,PASS,yes,yes,node60,8,4,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage3-slotpe-rank/stage3-cluster-bindcore-sechybrid-verkc-s80-i20-hyb8x4-8x8-8x10-20260504_165618
kc_hybrid_np8_t8_s80_i20_bindcore_20260504_165618,kc,hybrid,80,8,8,20,1.29,63574.498,6.645177e+08,PASS,yes,yes,node60,8,8,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage3-slotpe-rank/stage3-cluster-bindcore-sechybrid-verkc-s80-i20-hyb8x4-8x8-8x10-20260504_165618
kc_hybrid_np8_t10_s80_i20_bindcore_20260504_165618,kc,hybrid,80,8,10,20,1.04,78974.336,6.645177e+08,PASS,yes,yes,node60,8,10,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage3-slotpe-rank/stage3-cluster-bindcore-sechybrid-verkc-s80-i20-hyb8x4-8x8-8x10-20260504_165618
kc_hybrid_np8_t11_s80_i20_bindcore_20260504_165736,kc,hybrid,80,8,11,20,0.95,86674.44,6.645177e+08,PASS,yes,yes,node60,8,11,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage3-slotpe-rank/stage3-cluster-bindcore-sechybrid-verkc-s80-i20-hyb8x11-8x12-20260504_165736
kc_hybrid_np8_t12_s80_i20_bindcore_20260504_165736,kc,hybrid,80,8,12,20,0.88,92573.235,6.645177e+08,PASS,yes,yes,node60,8,12,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage3-slotpe-rank/stage3-cluster-bindcore-sechybrid-verkc-s80-i20-hyb8x11-8x12-20260504_165736
kc_hybrid_np27_t3_s80_i20_bindcore_20260504_170022,kc,hybrid,80,27,3,20,5.65,48947.959,2.242747e+09,PASS,yes,yes,node60,27,3,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage3-slotpe-rank/stage3-cluster-bindcore-sechybrid-verkc-s80-i20-hyb1x96-8x12-27x3-20260504_170022
