case_id,version,section,mpi_ranks,omp_threads,size,iters,ntasks,cpus_per_task,exec_path
baseline_hybrid_np1_t64_s40_i20_20260503_010809,baseline,hybrid,1,64,40,20,1,64,/opt/phadcloud/lustre/home/phadcloud65np17903/build-lulesh-baseline/lulesh2.0
kc_hybrid_np1_t64_s40_i20_20260503_010809,kc,hybrid,1,64,40,20,1,64,/opt/phadcloud/lustre/home/phadcloud65np17903/build-cluster-kc/lulesh2.0
baseline_hybrid_np8_t8_s40_i20_20260503_010809,baseline,hybrid,8,8,40,20,8,8,/opt/phadcloud/lustre/home/phadcloud65np17903/build-lulesh-baseline/lulesh2.0
kc_hybrid_np8_t8_s40_i20_20260503_010809,kc,hybrid,8,8,40,20,8,8,/opt/phadcloud/lustre/home/phadcloud65np17903/build-cluster-kc/lulesh2.0
